,Pred_Background/No Washing,Pred_Step 1: Palm to Palm,Pred_Step 2: Right Palm over Left Dorsum,Pred_Step 3: Left Palm over Right Dorsum,Pred_Step 4: Fingers Interlaced,Pred_Step 5: Backs of Fingers,Pred_Step 6: Rotational Rubbing of Thumbs,Pred_Step 7: Rotational Rubbing of Fingertips,Pred_Step 8: Rotational Rubbing of Wrists
True_Background/No Washing,129,12,1,0,1,2,0,0,0
True_Step 1: Palm to Palm,18,538,13,17,6,7,6,10,0
True_Step 2: Right Palm over Left Dorsum,0,0,138,0,3,0,0,0,0
True_Step 3: Left Palm over Right Dorsum,0,1,0,185,0,0,0,0,0
True_Step 4: Fingers Interlaced,0,6,9,1,194,0,5,0,0
True_Step 5: Backs of Fingers,0,7,0,0,0,187,0,0,0
True_Step 6: Rotational Rubbing of Thumbs,2,10,0,0,0,1,130,2,0
True_Step 7: Rotational Rubbing of Fingertips,0,3,11,0,3,0,3,68,0
True_Step 8: Rotational Rubbing of Wrists,1,3,0,0,0,0,0,0,56
